 ;;;;; ;;;;;;;
Tabel Positifvity rate Hasil Lab Covid19 - DKI Jakarta;;;;;;;;;;;;
;;;;;;;;;;;;
Tanggal;Tahun;Jumlah orang di tes;Orang Positif Harian;Orang negatif harian;Positif rate kasus baru harian;Total spesimen di tes;Positif;Negatif;Positif rate (specimen harian);;;
28/02/;2021;7.797;2.058;5.739;26,40%;9.828;2.487;7.341;25,30%;;;
;;;;;;;;;;;;
27/02/;2021;12.559;2.098;10.461;16,70%;14.775;4.068;10.707;27,50%;;;
;; ;;;;;;;;;;
26/02/;2021;13.432;1.737;11.695;12,90%;16.184;4.196;11.988;25,90%;;;
;;;;;;;;;;;;
25/02/;2021;13.802;1.661;12.141;12,00%;16.238;3.802;12.436;23,40%;;;
;; ;;;;;;;;;;
24/02/;2021;15.038;1.581;13.457;10,50%;18.340;4.720;13.620;25,70%;;;
;;;;;;;;;;;;
23/02/;2021;14.002;782;13.220;5,60%;18.185;4.964;13.221;27,30%;;;
;; ;;;;;;;;;;
22/02/;2021;11.429;782;10.647;6,80%;14.844;4.027;10.817;27,10%;;;
;;;;;;;;;;;;
21/02/;2021;9.312;2.471;6.841;26,50%;9.897;2.274;7.623;23,00%;;;
;; ;;;;;;;;;;
